Title,Location,Price
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            "
                        Apartment Reguliersgracht 78 B                            ,            1017 LV Amsterdam (Grachtengordel-Zuid)        ,"                €5,500 per month            "
                        Apartment Van Breestraat 129 Hs                            ,            1071 ZL Amsterdam (Museumkwartier)        ,"                €6,500 per month            "
                        Apartment Ceintuurbaan                            ,            1072 ES Amsterdam (Oude Pijp)        ,"                €2,650 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T5                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,540 - €1,550 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T7                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €2,045 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T8                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,825 - €1,860 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T1                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,530 - €1,650 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T9                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,380 - €1,415 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T2                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,530 - €1,650 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T10                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,320 - €1,350 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T6                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,540 - €1,550 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T3                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,770 - €1,830 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T4                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,795 - €1,805 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–F’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–I LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–I’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–F LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–G LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–J LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,575 - €1,650 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–B LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H-A LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,650 - €1,675 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–A’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,650 - €1,675 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–H LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,575 - €1,700 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–E LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,550 - €1,675 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–D’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–G’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–D LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            "
                        Apartment Naritaweg                            ,            1043 CB Amsterdam (Bedrijventerrein Sloterdijk)        ,"                €1,840 per month            "
                        Apartment Naritaweg                            ,            1043 CB Amsterdam (Bedrijventerrein Sloterdijk)        ,                €965 per month            
                        Apartment Naritaweg                            ,            1043 CB Amsterdam (Bedrijventerrein Sloterdijk)        ,"                €1,780 per month            "
                        Apartment Cornelis Anthoniszstraat                            ,            1071 VX Amsterdam (Museumkwartier)        ,"                €2,850 per month            "
